Animal,Cell,Site,Slice,Type,EPSC,EPSC_baseline,EPSP,EPSP_baseline,ifSpiked
1255,4,LM,j130507a,L23PV,48.6609578761221,1.61611,5.53027519846129,0.164631,1
1255,8,LM,j130507a,L23pyr,91.2031562556906,1.54484,3.00556395904519,0.0813321,0
1255,5,LM,j130507a,L23pyr,NaN,NaN,0.313295884271428,0.0598742,0
1255,6,LM,j130507a,L23pyr,NaN,NaN,0,0.286458,0
1255,7,LM,j130507a,L23pyr,NaN,NaN,0,0.0797627,0
1255,1,LM,j130507b,L1,0,0.98725,0.566530226582531,0.27557,0
1255,2,LM,j130507b,L23PV,0,2.61133,1.56836009317937,0.194857,0
1255,7,LM,j130507b,L23pyr,NaN,NaN,0,0.177213,0
1255,8,LM,j130507b,L23pyr,NaN,NaN,0,0.100217,0
1255,5,LM,j130507b,L4pyr,NaN,NaN,0,0.107176,0
1255,4,LM,j130507b,L5PV,NaN,NaN,0.730748155260169,0.224933,0
1255,4,LM,j130507c,L23PV,NaN,NaN,0,0.34976,0
1255,7,LM,j130507c,L23PV,NaN,NaN,0,0.295195,0
1255,2,LM,j130507c,L23pyr,NaN,NaN,0,0.291084,0
1322,2,LM,j130604a,L23PV,NaN,NaN,0,0.191945,0
1322,8,LM,j130604a,L23PV,NaN,NaN,0,0.133658,0
1322,6,LM,j130604a,L23pyr,NaN,NaN,0,0.197419,0
1401,6,LM,j130809a,L5PV,0,2.13438,NaN,NaN,NaN
1401,5,LM,j130809a,L5pyr,0,2.45996,NaN,NaN,NaN
1401,2,LM,j130809b,L23PV,0,1.53511,NaN,NaN,NaN
1673,3,LM,j131218a,L23PV,243.294906761256,2.17361,13.2188389740953,0.103174,0
1673,2,LM,j131218a,L23pyr,44.1317978531026,2.40395,1.32380788896166,0.0398871,0
1673,4,LM,j131218a,L4PV,30.7280978173967,2.43427,1.85563230213534,0.3783,0
1673,8,LM,j131218a,L4PV,0,1.0309,2.97850623593544,0.112568,0
1673,6,LM,j131218a,L5PV,0,1.45497,0,0.225434,0
1673,5,LM,j131218a,L5pyr,0,4.10416,0,0.387227,0
1673,6,LM,j131218b,L23PV,264.382728271801,0.96335,27.1851301213078,0.118733,1
1673,8,LM,j131218b,L23PV,880.081306950125,22.3547,25.122462014374,0.239534,1
1673,1,LM,j131218b,L23pyr,366.054401479822,2.13855,9.35790849555176,0.123033,0
1673,3,LM,j131218b,L23pyr,0,2.22222,0.999614583427615,0.076693,0
1673,7,LM,j131218b,L23pyr,387.34964868109,3.32962,8.95531962570674,0.0710248,0
1673,4,LM,j131218b,L5PV,374.272991344094,1.9449,23.3533626512345,0.345662,1
1673,5,LM,j131218b,L5pyr,71.1383127453174,1.66098,2.71990544555026,0.087385,0
1673,1,LM,j131218c,L23pyr,66.3693706333468,0.625936,2.06099642370346,0.0720528,0
1673,8,LM,j131218c,L23pyr,226.055973091334,1.04427,6.45917728150826,0.0678329,0
1673,7,LM,j131218c,L4PV,135.451240142011,1.37199,10.388099775956,0.213037,0
1673,6,LM,j131218c,L4pyr,17.0026815813718,0.756833,0.817129500354127,0.15959,0
1673,4,LM,j131218c,L5PV,43.3899542229188,1.05961,8.39967490509143,0.278184,1
1674,2,LM,j131206b,L23PV,NaN,NaN,7.43828291624268,0.112254,0
1674,7,LM,j131206b,L23PV,NaN,NaN,5.60022930576967,0.10947,0
1674,1,LM,j131206b,L23pyr,NaN,NaN,2.54993564141279,0.0858305,0
1674,8,LM,j131206b,L23pyr,NaN,NaN,2.02488966979243,0.159976,0
1674,6,LM,j131206b,L4PV,NaN,NaN,0,0.148571,0
1674,3,LM,j131206b,L4pyr,NaN,NaN,0,0.0563484,0
1674,5,LM,j131206b,L5pyr,NaN,NaN,5.28951279107382,0.058542,0
