,animal_id,cell_id,cell_layer,cell_type_gene,cell_type_morph,delay_off,delay_on,fr_off,fr_on,injection_id,slice_id
0,2899,3,L4,pyr,pyr,29.408421052631578,31.844210526315795,47.36842105263158,36.8421052631579,1,1
1,2899,6,L4,pyr,pyr,45.68000000000001,51.224444444444444,27.77777777777778,38.888888888888886,1,1
2,2899,3,L4,pyr,pyr,40.480000000000004,46.39428571428572,57.142857142857146,42.857142857142854,1,2
3,3019,3,L4,pyr,pyr,40.49666666666667,40.776666666666664,33.333333333333336,33.333333333333336,1,1
4,3019,3,L4,pyr,pyr,48.448,72.248,40.0,0.0,1,2
5,3019,2,L4,pyr,pyr,57.69076923076922,105.39538461538463,15.384615384615385,38.46153846153846,1,3
6,3109,3,L4,pyr,pyr,46.20615384615384,41.26461538461539,15.384615384615385,92.3076923076923,1,2
7,3109,6,L4,pyr,pyr,34.20307692307693,38.104615384615386,46.15384615384615,69.23076923076923,1,2
8,3138,3,L4,pyr,pyr,31.297777777777778,36.08444444444444,44.44444444444444,77.77777777777777,1,2
9,3138,6,L4,pyr,pyr,29.565,34.22,37.5,50.0,1,2
10,3288,6,L4,pyr,pyr,41.012,41.488,30.0,50.0,1,1
11,3288,3,L4,pyr,pyr,41.79555555555555,40.52444444444444,22.22222222222222,44.44444444444444,1,2
12,3288,6,L4,pyr,pyr,50.029090909090904,54.592727272727274,36.36363636363637,81.81818181818181,1,3
13,3288,7,L4,pyr,pyr,40.905454545454546,106.75999999999999,36.36363636363637,36.36363636363637,1,3
14,3349,3,L4,pyr,pyr,35.848,32.403999999999996,30.0,50.0,1,1
15,3349,6,L4,pyr,pyr,40.80799999999999,41.056,40.0,10.0,1,1
16,3349,3,L4,pyr,pyr,41.172000000000004,46.436,20.0,20.0,1,2
17,3349,6,L4,pyr,pyr,38.428000000000004,38.56,40.0,40.0,1,2
18,19663,2,L4,pyr,pyr,45.535555555555554,49.71999999999999,33.333333333333336,66.66666666666667,1,1
19,19663,4,L4,pyr,pyr,42.40888888888888,53.01777777777778,44.44444444444444,33.333333333333336,1,1
